A,A2,법정동명,특수지구분코드,특수지구분명,지번,기준연도,기준월,A9,xcoord,ycoord
4413010500102330003,4413010500,천안시,1,일반, 사직동 233-3,1996,1,260000,좌표x,좌표x
4413010500102340000,4413010500,천안시,1,일반, 사직동 234,1996,1,360000,212918.0886,467024.0206
4413010500102390002,4413010500,천안시,1,일반, 사직동 239-2,1996,1,950000,212832.0679,467028.9843
4413010500102450004,4413010500,천안시,1,일반, 사직동 245-4,1996,1,900000,212866.7161,466965.4325
4413010500102500005,4413010500,천안시,1,일반, 사직동 250-5,1996,1,350000,212947.6287,466869.9583
4413010500102500040,4413010500,천안시,1,일반, 사직동 250-40,1996,1,260000,212876.5472,466847.8698
4413010500102510006,4413010500,천안시,1,일반, 사직동 251-6,1996,1,190000,212885.2432,466764.2299
4413010500102560007,4413010500,천안시,1,일반, 사직동 256-7,1996,1,470000,212963.5693,466735.6978
4413010500102610013,4413010500,천안시,1,일반, 사직동 261-13,1996,1,320000,212926.0512,466747.4973
4413010500102630005,4413010500,천안시,1,일반, 사직동 263-5,1996,1,650000,212972.5514,466818.5604
4413010500102750004,4413010500,천안시,1,일반, 사직동 275-4,1996,1,1050000,213165.803,466783.1837
4413010500102830004,4413010500,천안시,1,일반, 사직동 283-4,1996,1,390000,213123.0541,466778.4345
4413010500102840008,4413010500,천안시,1,일반, 사직동 284-8,1996,1,180000,212988.1232,466746.7863
4413010500103110001,4413010500,천안시,1,일반, 사직동 311-1,1996,1,140000,좌표x,좌표x
4413010500103150004,4413010500,천안시,1,일반, 사직동 315-4,1996,1,230000,좌표x,좌표x
4413010500103210006,4413010500,천안시,1,일반, 사직동 321-6,1996,1,700000,212800.8576,467117.6335
4413010500103230002,4413010500,천안시,1,일반, 사직동 323-2,1996,1,1200000,212800.8867,467205.347
4413010500103370005,4413010500,천안시,1,일반, 사직동 337-5,1996,1,580000,좌표x,좌표x
4413010600100020007,4413010600,천안시,1,일반, 영성동 2-7,1996,1,380000,213405.7636,467291.5195
4413010600100060025,4413010600,천안시,1,일반, 영성동 6-25,1996,1,1500000,213362.9247,467149.7712
4413010600100070001,4413010600,천안시,1,일반, 영성동 7-1,1996,1,1450000,213351.0257,467249.433
4413010600100090006,4413010600,천안시,1,일반, 영성동 9-6,1996,1,1400000,213343.6385,467295.7962
4413010600100110008,4413010600,천안시,1,일반, 영성동 11-8,1996,1,460000,213294.2915,467253.0777
4413010600100240003,4413010600,천안시,1,일반, 영성동 24-3,1996,1,450000,213238.6952,467255.2165
